"ng-binding","ng-binding 2","ng-binding href","ng-binding src","ng-scope src","ng-scope","ng-binding 3","ng-binding 4","ng-binding 5","ng-binding 6","ng-scope src 2","ng-binding 7","ng-binding 8","ng-binding 9","ng-binding 10","ng-scope src 3","ng-binding 11","ng-scope src 4","ng-scope src 5","ng-scope src 6","ng-scope src 7"
"527","茶杯豬","https://pigfarmmix.net/#/pig/527","https://pigfarmmix.net/png_h/c4375f7822d28690bec80f42e8d152794cae75b1c8331bbee48671e4df9a39d120251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","不挑食","1","0 小時","58 分鐘","24 小時","https://pigfarmmix.net/png_h/6585446bb2af50be3aaaf28d138c7bd5f2737b0e067ed0f28fa97b1f6b396d8020251013.png","肉色 [活動圖鑑]","≤ 127.9 kg","≥ 191.1 kg","6000 pt","","0.20%","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png",""
"528","神豬","https://pigfarmmix.net/#/pig/528","https://pigfarmmix.net/png_h/1c5d9221285b8aeea83a0014d5bff91ea33fc290907ca5f9686bfeff03fae18b20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","不挑食","1","0 小時","58 分鐘","36 小時","https://pigfarmmix.net/png_h/a68119aa8a6ceba07cf7cd15c2c4ea3a6f2a3313e58a78a2ec1216d15999fb8f20251013.png","白色 [活動圖鑑]","≤ 390.0 kg","≥ 420.0 kg","10000 pt","","5.30%","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png"
"529","藝術豬","https://pigfarmmix.net/#/pig/529","https://pigfarmmix.net/png_h/6206e64fd68ed1d3d96b66ab88606bf4c80bfb389fe62029d20b289dc9bec0a320251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","","3","60 分鐘","1 小時","24 小時","https://pigfarmmix.net/png_h/9fc1edfa8a25ba821f32de73ee24d6907de827874d33d8400a273fbe122ac58920251013.png","米色 [活動圖鑑]","≤ 131.1 kg","≥ 191.1 kg","5500 pt","https://pigfarmmix.net/png_h/1083a39a293067c36e6e25b013d3a87904536ffef5349212d9a97fae8ca2b74420251013.png","","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png",""
"530","菇菇豬","https://pigfarmmix.net/#/pig/530","https://pigfarmmix.net/png_h/c8c937c32479bce72e4f55a32e49c6b9c2d2aa6f1e8ef3c4023b780b668d520120251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","不挑食","1","0 小時","58 分鐘","10 小時","https://pigfarmmix.net/png_h/a6752c7f9968b9961d0e91ae2083fce3f62ee7ac7f4c8d0a45c0a32bae70c8f620251013.png","肉色 [活動圖鑑]","≤ 126.9 kg","≥ 163.1 kg","3000 pt","","","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","",""
"531","野獸豬","https://pigfarmmix.net/#/pig/531","https://pigfarmmix.net/png_h/a7850d8f066294c62f92cf52a1b19b101cab18ebd3aa860a7db29c6faa5fd2b320251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","","4","60 分鐘","1 小時","24 小時","https://pigfarmmix.net/png_h/811992418c93eac5c6722e48989ba638bc739f8c763e8aa6fccb0cdb69e091ae20251013.png","野豬 [活動圖鑑]","≤ 134.3 kg","≥ 212.0 kg","6000 pt","https://pigfarmmix.net/png_h/1083a39a293067c36e6e25b013d3a87904536ffef5349212d9a97fae8ca2b74420251013.png","","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png"
"532","美女豬","https://pigfarmmix.net/#/pig/532","https://pigfarmmix.net/png_h/615557500e1fdc25b2913a6069f54790b1e613de1e9b6cc2551c4e243a110c3720251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","","3","0 小時","58 分鐘","18 小時","https://pigfarmmix.net/png_h/a6752c7f9968b9961d0e91ae2083fce3f62ee7ac7f4c8d0a45c0a32bae70c8f620251013.png","肉色 [活動圖鑑]","≤ 127.1 kg","≥ 182.0 kg","3500 pt","https://pigfarmmix.net/png_h/a8c431ef04e348d579dbea87991cab0dadc22df86edf1920a8c8e76335bd820c20251013.png","","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","",""
"533","傑克南瓜豬","https://pigfarmmix.net/#/pig/533","https://pigfarmmix.net/png_h/30d99a82adcbdb741ad14404246400e7f9657141ffc7a59e942e467d8b19daa520251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","不挑食","4","60 分鐘","1 小時","20 小時","https://pigfarmmix.net/png_h/97cbaccfa405480612d3bf7e152c0f7f8d8507099b5839dfa19df61f5181feec20251013.png","灰色 [活動圖鑑]","≤ 130.6 kg","≥ 188.1 kg","3500 pt","","","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png",""
"534","運動豬","https://pigfarmmix.net/#/pig/534","https://pigfarmmix.net/png_h/9e158595aaaa5384399782ab8c766ae6d178c58d6b1fd0111b15fd1b4ea90c2e20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","","4","0 小時","58 分鐘","16 小時","https://pigfarmmix.net/png_h/9fc1edfa8a25ba821f32de73ee24d6907de827874d33d8400a273fbe122ac58920251013.png","米色 [活動圖鑑]","≤ 129.6 kg","≥ 180.7 kg","3000 pt","https://pigfarmmix.net/png_h/8634aa677090b5bfca798d786e8ef2e14d04de87c2335c7e4a7052c45d83ddd120251013.png","","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","",""
"535","赫尼文豬","https://pigfarmmix.net/#/pig/535","https://pigfarmmix.net/png_h/7db951a0fd2eff4a0d417eebc42c3c82a9f629a36f21da545ff11249b8f8cf5820251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","不挑食","1","0 小時","58 分鐘","24 小時","https://pigfarmmix.net/png_h/46827eaf3344f3d5d59295ae2c237b7ef05252fa01f7f38bb1e57ac062d9c15520251013.png","粉紅 [活動圖鑑]","≤ 131.0 kg","≥ 150.0 kg","10000 pt","https://pigfarmmix.net/png_h/d48df30397ce33593ddd99a7039b689c0ca8147be77810da82091e7db2ac5ba720251013.png","8.99%","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png"
"536","烤地瓜豬","https://pigfarmmix.net/#/pig/536","https://pigfarmmix.net/png_h/da57d48827bdabe81804e000dac43c4f16f3eb62e334ae1e5d0bf6230384034920251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","","5","0 小時","58 分鐘","14 小時","https://pigfarmmix.net/png_h/9fc1edfa8a25ba821f32de73ee24d6907de827874d33d8400a273fbe122ac58920251013.png","米色 [活動圖鑑]","≤ 130.5 kg","≥ 164.9 kg","3000 pt","https://pigfarmmix.net/png_h/8634aa677090b5bfca798d786e8ef2e14d04de87c2335c7e4a7052c45d83ddd120251013.png","","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","",""
"537","農夫豬","https://pigfarmmix.net/#/pig/537","https://pigfarmmix.net/png_h/98ef3cc49d800290e796f9057daa8e03ded73262f8b9065398434e33b40418b620251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","不挑食","4","0 小時","58 分鐘","16 小時","https://pigfarmmix.net/png_h/46827eaf3344f3d5d59295ae2c237b7ef05252fa01f7f38bb1e57ac062d9c15520251013.png","粉紅 [活動圖鑑]","≤ 129.6 kg","≥ 180.7 kg","3000 pt","","","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","",""
"538","雪豬","https://pigfarmmix.net/#/pig/538","https://pigfarmmix.net/png_h/e36c76ed9d6f17d7a960ffb3fa5a8d57e7c0ecb0299583b16f0bbe7edb847bbb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","不挑食","4","0 小時","58 分鐘","14 小時","https://pigfarmmix.net/png_h/a68119aa8a6ceba07cf7cd15c2c4ea3a6f2a3313e58a78a2ec1216d15999fb8f20251013.png","白色 [活動圖鑑]","≤ 126.6 kg","≥ 179.3 kg","3000 pt","","","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","",""
"539","溜冰豬","https://pigfarmmix.net/#/pig/539","https://pigfarmmix.net/png_h/6f54c7dcf5810b98be3a577182867719817734e646738284053787bef75fd04a20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","","4","60 分鐘","1 小時","24 小時","https://pigfarmmix.net/png_h/a68119aa8a6ceba07cf7cd15c2c4ea3a6f2a3313e58a78a2ec1216d15999fb8f20251013.png","白色 [活動圖鑑]","≤ 130.6 kg","≥ 191.1 kg","5500 pt","https://pigfarmmix.net/png_h/a7c17665173739b203d7fab5046bd82964e973f62b1c34834f032ecb6c99fff520251013.png","","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png",""
"540","阿拉丁豬","https://pigfarmmix.net/#/pig/540","https://pigfarmmix.net/png_h/01440106b80515d4f0a41478c950de410b6055ce71b4d8492ad9515a1480c7d620251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","不挑食","4","0 小時","58 分鐘","12 小時","https://pigfarmmix.net/png_h/9fc1edfa8a25ba821f32de73ee24d6907de827874d33d8400a273fbe122ac58920251013.png","米色 [活動圖鑑]","≤ 126.6 kg","≥ 178.0 kg","3000 pt","","","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","",""
"541","阿拉伯豬公主","https://pigfarmmix.net/#/pig/541","https://pigfarmmix.net/png_h/00a72dc0df8bd632ffe8f2ada33c01ff8100cddcda49c28896d85d41ac00b91e20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","","4","60 分鐘","1 小時","18 小時","https://pigfarmmix.net/png_h/9fc1edfa8a25ba821f32de73ee24d6907de827874d33d8400a273fbe122ac58920251013.png","米色 [活動圖鑑]","≤ 132.5 kg","≥ 194.0 kg","5500 pt","https://pigfarmmix.net/png_h/ae37f6e04cdc1a9c13b5d505e598173fcce41b6af8074c98d775c0f1c6b04d6c20251013.png","","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png",""
"542","神燈豬","https://pigfarmmix.net/#/pig/542","https://pigfarmmix.net/png_h/fceef9cb40454c88994a102cf9e8fd824a7d0c15ed13a4f5e3eaf540495e881620251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","","7","60 分鐘","1 小時","24 小時","https://pigfarmmix.net/png_h/97cbaccfa405480612d3bf7e152c0f7f8d8507099b5839dfa19df61f5181feec20251013.png","灰色 [活動圖鑑]","≤ 137.6 kg","≥ 196.0 kg","9500 pt","https://pigfarmmix.net/png_h/ae37f6e04cdc1a9c13b5d505e598173fcce41b6af8074c98d775c0f1c6b04d6c20251013.png","","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png"
"543","庫雷馬拉豬","https://pigfarmmix.net/#/pig/543","https://pigfarmmix.net/png_h/27e644292e308026b10c8ed7ab2a6e4f7f7060dc09ee65451f5daead3fd4797220251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","不挑食","8","0 小時","58 分鐘","30 小時","https://pigfarmmix.net/png_h/a6752c7f9968b9961d0e91ae2083fce3f62ee7ac7f4c8d0a45c0a32bae70c8f620251013.png","肉色 [活動圖鑑]","≤ 133.4 kg","≥ 210.5 kg","10000 pt","https://pigfarmmix.net/png_h/d48df30397ce33593ddd99a7039b689c0ca8147be77810da82091e7db2ac5ba720251013.png","4.12%","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png"
"544","舞龍舞豬","https://pigfarmmix.net/#/pig/544","https://pigfarmmix.net/png_h/1e58d44d875b2c1a6abbea625e8d52f97619ec50d3f2d1680256fc932b6c387a20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","不挑食","5","60 分鐘","1 小時","24 小時","https://pigfarmmix.net/png_h/46827eaf3344f3d5d59295ae2c237b7ef05252fa01f7f38bb1e57ac062d9c15520251013.png","粉紅 [活動圖鑑]","≤ 131.5 kg","≥ 191.1 kg","5000 pt","","","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png",""
"545","暖桌豬","https://pigfarmmix.net/#/pig/545","https://pigfarmmix.net/png_h/8060342e15ce9922f38d229ff5c2292a0ff32bb9b794542434946bb1756a33b720251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","","5","0 小時","58 分鐘","18 小時","https://pigfarmmix.net/png_h/a6752c7f9968b9961d0e91ae2083fce3f62ee7ac7f4c8d0a45c0a32bae70c8f620251013.png","肉色 [活動圖鑑]","≤ 127.5 kg","≥ 182.0 kg","3000 pt","https://pigfarmmix.net/png_h/8634aa677090b5bfca798d786e8ef2e14d04de87c2335c7e4a7052c45d83ddd120251013.png","","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","",""
"546","豬豬小丑","https://pigfarmmix.net/#/pig/546","https://pigfarmmix.net/png_h/86a3f3c72b17cd1ca299155f91f7ba8a5c53092d55417eaaf35c47dc04f315e220251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","不挑食","5","0 小時","58 分鐘","20 小時","https://pigfarmmix.net/png_h/6585446bb2af50be3aaaf28d138c7bd5f2737b0e067ed0f28fa97b1f6b396d8020251013.png","肉色 [活動圖鑑]","≤ 132.5 kg","≥ 201.1 kg","6000 pt","","0.20%","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png"
"547","奇妙仙豬","https://pigfarmmix.net/#/pig/547","https://pigfarmmix.net/png_h/ccf4003ae6429aae99c5c6520bfe76707d8aff5898493082ae9ad6dfe3c5717320251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","","3","60 分鐘","1 小時","18 小時","https://pigfarmmix.net/png_h/ecafd712febe701b1d890dcfbb244aa8351e2078819d27c2c899c49d55528f6e20251013.png","粉紅 [活動圖鑑]","≤ 131.1 kg","≥ 186.5 kg","5000 pt","https://pigfarmmix.net/png_h/ae37f6e04cdc1a9c13b5d505e598173fcce41b6af8074c98d775c0f1c6b04d6c20251013.png","","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png",""
"548","鱷魚豬","https://pigfarmmix.net/#/pig/548","https://pigfarmmix.net/png_h/efaa3050bcdcf5ab0a1f2085410d222f568988ec3ac7b1e52062b411eced64f620251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","不挑食","4","60 分鐘","1 小時","16 小時","https://pigfarmmix.net/png_h/97cbaccfa405480612d3bf7e152c0f7f8d8507099b5839dfa19df61f5181feec20251013.png","灰色 [活動圖鑑]","≤ 126.6 kg","≥ 180.7 kg","3500 pt","","","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","",""
"549","畢業豬","https://pigfarmmix.net/#/pig/549","https://pigfarmmix.net/png_h/dda26118561df02cb21255d2632c0ffaef2997bf41a8c41fd41d6a2725c5dfc720251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","不挑食","4","0 小時","58 分鐘","24 小時","https://pigfarmmix.net/png_h/97cbaccfa405480612d3bf7e152c0f7f8d8507099b5839dfa19df61f5181feec20251013.png","灰色 [活動圖鑑]","≤ 126.6 kg","≥ 186.1 kg","3500 pt","","","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","",""
"550","白色情人豬","https://pigfarmmix.net/#/pig/550","https://pigfarmmix.net/png_h/7ee45e434fdc37c6496f63ccf705aa7b2e1b871cb14e7b560b26c1e2d0a3809420251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","不挑食","3","0 小時","58 分鐘","24 小時","https://pigfarmmix.net/png_h/a68119aa8a6ceba07cf7cd15c2c4ea3a6f2a3313e58a78a2ec1216d15999fb8f20251013.png","白色 [活動圖鑑]","≤ 129.7 kg","≥ 191.1 kg","4000 pt","","","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png",""
"551","噗公英","https://pigfarmmix.net/#/pig/551","https://pigfarmmix.net/png_h/6990b60f0d35af31ecc8096b0cc9dbaed3d62bdfa60c45d299c6dfb1863e052120251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","不挑食","4","0 小時","58 分鐘","20 小時","https://pigfarmmix.net/png_h/a68119aa8a6ceba07cf7cd15c2c4ea3a6f2a3313e58a78a2ec1216d15999fb8f20251013.png","白色 [活動圖鑑]","≤ 129.6 kg","≥ 183.4 kg","3500 pt","","","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","",""
"552","愚人豬","https://pigfarmmix.net/#/pig/552","https://pigfarmmix.net/png_h/87cea32048c1c3aa8fda3852556af07fab722c1a2d7172e1dd645047f59fcf7920251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","不挑食","1","0 小時","58 分鐘","12 小時","https://pigfarmmix.net/png_h/a6752c7f9968b9961d0e91ae2083fce3f62ee7ac7f4c8d0a45c0a32bae70c8f620251013.png","肉色 [活動圖鑑]","≤ 126.9 kg","≥ 164.0 kg","3000 pt","https://pigfarmmix.net/png_h/8634aa677090b5bfca798d786e8ef2e14d04de87c2335c7e4a7052c45d83ddd120251013.png","","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","https://pigfarmmix.net/png_h/8fac40b2fe24e09293d7a4d46b4a2fcea0ce220bba89d34e97d8ad9322a442fb20251013.png","",""
